School Year,Division Number,Division Name,School Number,School Name,Subject,Grade,Test Source,Test,Total Count,Pass Rate
2014-2015,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              61,    47.54
2014-2015,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,             151,    99.34
2014-2015,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              63,100.00
2014-2015,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              51,    82.35
2014-2015,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              33,    90.91
2014-2015,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              33,100.00
2014-2015,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              63,    52.38
2014-2015,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              73,    91.78
2014-2015,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              54,100.00
2014-2015,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              48,    43.75
2015-2016,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Mathematics,              15,<50
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              72,    94.44
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              44,100.00
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              88,    60.23
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              36,    83.33
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              31,100.00
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              87,    48.28
2015-2016,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,             151,    98.01
2015-2016,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              73,100.00
2015-2016,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              44,    75.00
2015-2016,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              19,100.00
2015-2016,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              28,100.00
2015-2016,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              78,    79.49
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              74,    86.49
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              73,100.00
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              37,    35.14
2015-2016,2,Albemarle County ,890,Murray High,Mathematics,8,SOL,Algebra I,<,>50
2016-2017,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Mathematics,              13,<50
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              69,100.00
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              43,100.00
