"Year","School_ID","Entity","Group","Test","Pass Rate","Total Count"
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Mathematics",80.46,87
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Algebra I",96.23,53
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Algebra I",NA,NA
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Geometry",100,26
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Mathematics",85.48,62
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Mathematics",68,25
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Algebra I",96.3,54
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Geometry",100,25
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","English Learners","Geometry",NA,NA
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Mathematics",81.25,80
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","English Learners","Mathematics",NA,NA
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","American Indian","Mathematics",NA,NA
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Algebra I",NA,NA
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Geometry",NA,NA
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Mathematics",NA,NA
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Black","Algebra I",NA,NA
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Black","Mathematics",68.75,32
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Geometry",NA,NA
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Mathematics",NA,NA
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Unknown Race","Geometry",NA,NA
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","Unknown Race","Mathematics",NA,NA
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Algebra I",98.04,51
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Geometry",100,17
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Mathematics",89.58,48
"2006-2007",69,"Jackson P. Burley Middle","All Students","Algebra I",100,33
"2006-2007",69,"Jackson P. Burley Middle","All Students","Geometry",100,21
"2006-2007",69,"Jackson P. Burley Middle","All Students","Mathematics",56.12,98
"2006-2007",69,"Jackson P. Burley Middle","Economically Advantaged","Algebra I",100,29
"2006-2007",69,"Jackson P. Burley Middle","Economically Disadvantaged","Algebra I",NA,NA
"2006-2007",69,"Jackson P. Burley Middle","Economically Advantaged","Geometry",100,21
"2006-2007",69,"Jackson P. Burley Middle","Economically Advantaged","Mathematics",66.07,56
"2006-2007",69,"Jackson P. Burley Middle","Economically Disadvantaged","Mathematics",42.86,42
"2006-2007",69,"Jackson P. Burley Middle","Non-English Learners","Algebra I",100,31
"2006-2007",69,"Jackson P. Burley Middle","English Learners","Algebra I",NA,NA
"2006-2007",69,"Jackson P. Burley Middle","Non-English Learners","Geometry",100,21
"2006-2007",69,"Jackson P. Burley Middle","Non-English Learners","Mathematics",54.95,91
"2006-2007",69,"Jackson P. Burley Middle","English Learners","Mathematics",NA,NA
"2006-2007",69,"Jackson P. Burley Middle","Asian","Algebra I",NA,NA
"2006-2007",69,"Jackson P. Burley Middle","Asian","Mathematics",NA,NA
"2006-2007",69,"Jackson P. Burley Middle","Black","Algebra I",NA,NA
"2006-2007",69,"Jackson P. Burley Middle","Black","Geometry",NA,NA
"2006-2007",69,"Jackson P. Burley Middle","Black","Mathematics",46.88,32
"2006-2007",69,"Jackson P. Burley Middle","Hispanic","Algebra I",NA,NA
"2006-2007",69,"Jackson P. Burley Middle","Hispanic","Mathematics",NA,NA
